-- Logs begin at Mon 2022-10-24 14:36:06 UTC, end at Wed 2022-10-26 11:46:47 UTC. --
Oct 26 11:08:18 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Oct 26 11:08:18 ubuntu dstat.sh[83164]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Oct 26 11:08:18 ubuntu dstat.sh[83164]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Oct 26 11:08:18 ubuntu dstat.sh[83164]: 26-10 11:08:18|                   | 910M 1472M  192M 5050M|           |           |           |           |0.89 0.44 0.32|2.0   0    |           |   0     0 |  8    6    0   10    2
Oct 26 11:08:19 ubuntu dstat.sh[83164]: 26-10 11:08:19| 13  19  66   1   0| 912M 1468M  192M 5052M|1678k   19k|   0  7349k|   0   199 |3842  4522 |0.97 0.46 0.33|3.0   0 371|   0     0 |   0     0 |  8    6    0   10    2
Oct 26 11:08:20 ubuntu dstat.sh[83164]: 26-10 11:08:20| 28  19  52   1   1| 875M 1503M  192M 5054M| 383k   10k|   0  1946k|   0   108 |3429  5753 |1.06 0.48 0.34|2.0   0 301|   0     0 |   0     0 |  8    4    0    8    2
Oct 26 11:08:21 ubuntu dstat.sh[83164]: 26-10 11:08:21| 41  20  38   0   0| 893M 1485M  192M 5055M| 113k 6818 |   0   507k|   0  13.0 |3320  8714 |1.06 0.48 0.34|2.0   0 211|   0     0 |   0     0 |  8    4    0    8    2
Oct 26 11:08:22 ubuntu dstat.sh[83164]: 26-10 11:08:22| 25   9  65   0   0|1045M 1332M  192M 5177M| 212k   10k|   0   684k|   0  12.0 |2357  4309 |1.06 0.48 0.34|1.0   0  45|   0     0 |   0     0 |  9    5    0    8    2
Oct 26 11:08:23 ubuntu dstat.sh[83164]: 26-10 11:08:23| 21   9  69   1   0|1051M 1325M  192M 5178M| 161k   11k|   0   537k|   0  16.0 |1916  2483 |1.06 0.48 0.34|2.0   0 112|   0     0 |   0     0 |  9    7    0    8    2
Oct 26 11:08:24 ubuntu dstat.sh[83164]: 26-10 11:08:24| 24  11  63   1   0|1071M 1304M  192M 5178M| 160k   20k|   0  1128k|   0  29.0 |2197  3084 |1.14 0.50 0.35|2.0   0 177|   0     0 |   0     0 |  9    8    0   10    2
Oct 26 11:08:25 ubuntu dstat.sh[83164]: 26-10 11:08:25| 25   4  68   1   0|1102M 1272M  192M 5179M|  42k 7021 | 196k 1051k|14.0  21.0 |1262  1526 |1.14 0.50 0.35|1.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Oct 26 11:08:26 ubuntu dstat.sh[83164]: 26-10 11:08:26| 26   2  71   1   1|1124M 1249M  192M 5180M| 127k   11k|  12k 1338k|1.00  19.0 |1272  1390 |1.14 0.50 0.35|2.0 1.0   0|   0     0 |   0     0 |  9   10    0   10    2
Oct 26 11:08:27 ubuntu dstat.sh[83164]: 26-10 11:08:27| 16   4  58  20   0|1137M 1234M  192M 5182M| 268k   20k|   0  9828k|   0   787 |5908    10k|1.14 0.50 0.35|2.0   0  12|   0     0 |   0     0 |  9   10    0   10    2
Oct 26 11:08:28 ubuntu dstat.sh[83164]: 26-10 11:08:28|  8   5  66  20   0|1144M 1222M  193M 5186M| 667k   21k|   0  8393k|   0   707 |5974  9999 |1.14 0.50 0.35|1.0 1.0 3.0|   0     0 |   0     0 |  9   10    0   10    2
Oct 26 11:08:29 ubuntu dstat.sh[83164]: 26-10 11:08:29| 15   4  59  20   0|1082M 1282M  193M 5188M| 549k   16k|   0  7646k|   0   612 |5812  9370 |1.45 0.58 0.37|1.0   0  28|   0     0 |   0     0 |  9    8    0   10    2
Oct 26 11:08:30 ubuntu dstat.sh[83164]: 26-10 11:08:30|  9   3  66  20   0|1082M 1279M  193M 5190M|  62k   11k|   0    16M|   0   726 |4990  9749 |1.45 0.58 0.37|1.0   0  13|   0     0 |   0     0 |  9    8    0   10    2
Oct 26 11:08:31 ubuntu dstat.sh[83164]: 26-10 11:08:31|  8   3  66  20   0|1084M 1274M  194M 5193M| 932k   31k|   0  7515k|   0   587 |5576  9264 |1.45 0.58 0.37|1.0 1.0 4.0|   0     0 |   0     0 |  9    8    0   10    2
Oct 26 11:08:32 ubuntu dstat.sh[83164]: 26-10 11:08:32| 21   5  66   8   0| 992M 1364M  194M 5195M| 689k   25k|   0  3098k|   0   290 |4060  5867 |1.45 0.58 0.37|1.0   0  51|   0     0 |   0     0 |  9    6    0   10    2
Oct 26 11:08:33 ubuntu dstat.sh[83164]: 26-10 11:08:33| 28   5  66   0   0|1037M 1319M  194M 5195M| 156k 9555 |   0   712k|   0  24.0 |1464  1557 |1.45 0.58 0.37|1.0   0  38|   0     0 |   0     0 |  9    6    0   10    2
Oct 26 11:08:34 ubuntu dstat.sh[83164]: 26-10 11:08:34| 27   3  69   1   0|1083M 1272M  194M 5196M| 542k   17k|   0  1276k|   0  26.0 |1742  1591 |1.41 0.59 0.37|1.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Oct 26 11:08:35 ubuntu dstat.sh[83164]: 26-10 11:08:35| 27   4  66   3   0|1016M 1339M  194M 5196M|  60k 6129 |   0    40M|   0   573 |2477  3000 |1.41 0.59 0.37|1.0   0  11|   0     0 |   0     0 |  9    6    0   10    2
Oct 26 11:08:36 ubuntu dstat.sh[83164]: 26-10 11:08:36| 26   4  69   1   0|1063M 1292M  194M 5196M|  64k 6112 |   0  7492k|   0   397 |2210  2880 |1.41 0.59 0.37|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Oct 26 11:08:37 ubuntu dstat.sh[83164]: 26-10 11:08:37| 28   2  67   2   0|1087M 1267M  194M 5197M| 300k   12k|   0  7786k|   0   423 |2423  3410 |1.41 0.59 0.37|1.0   0 3.0|   0     0 |   0     0 |  9    6    0   10    2
Oct 26 11:08:38 ubuntu dstat.sh[83164]: 26-10 11:08:38| 27  15  56   2   0| 995M 1357M  194M 5199M|  78k 5158 |   0  7568k|   0   384 |3148  5613 |1.41 0.59 0.37|1.0   0 317|   0     0 |   0     0 |  9    6    0   10    2
Oct 26 11:08:39 ubuntu dstat.sh[83164]: 26-10 11:08:39| 14  19  66   1   0| 995M 1354M  194M 5201M| 886k   23k|   0  2568k|   0  79.0 |3773  5045 |1.38 0.59 0.38|2.0   0 325|   0     0 |   0     0 |  9    6    0   10    2
Oct 26 11:08:40 ubuntu dstat.sh[83164]: 26-10 11:08:40| 33  18  48   1   0| 997M 1347M  195M 5205M|  15k 3348 |   0  2528k|   0  18.0 |4179  9668 |1.38 0.59 0.38|1.0   0 110|   0     0 |   0     0 |  9    6    0   10    2
Oct 26 11:08:41 ubuntu dstat.sh[83164]: 26-10 11:08:41| 46  13  39   0   0|1116M 1227M  195M 5206M| 275k   12k| 324k  348k|4.00  6.00 |2288  3378 |1.38 0.59 0.38|2.0   0 146|   0     0 |   0     0 |  9    7    0   10    2
Oct 26 11:08:42 ubuntu dstat.sh[83164]: 26-10 11:08:42| 50   5  44   1   1|1182M 1159M  195M 5208M| 752k   23k|  20k 1498k|3.99  27.0 |2295  2060 |1.38 0.59 0.38|4.0   0 2.0|   0     0 |   0     0 |  9    7    0   10    2
Oct 26 11:08:43 ubuntu dstat.sh[83164]: 26-10 11:08:43| 52   3  45   0   0|1212M 1127M  195M 5209M|  55k 6828 | 353k  770k|4.01  9.02 |1506  2556 |1.38 0.59 0.38|2.0   0   0|   0     0 |   0     0 |  9    7    0   10    2
Oct 26 11:08:44 ubuntu dstat.sh[83164]: 26-10 11:08:44| 35  13  51   0   0|1251M 1087M  195M 5211M|  74k 6636 |   0   833k|   0  9.01 |2921  7831 |1.43 0.62 0.39|2.0   0 144|   0     0 |   0     0 |  9    6    0   11    2
Oct 26 11:08:45 ubuntu dstat.sh[83164]: 26-10 11:08:45| 30   3  66   1   0|1309M 1028M  195M 5211M|  80k 7031 |   0  7933k|   0   174 |1520  1482 |1.43 0.62 0.39|1.0   0   0|   0     0 |   0     0 |  9    6    0   11    2
Oct 26 11:08:46 ubuntu dstat.sh[83164]: 26-10 11:08:46| 27   2  69   1   0|1332M 1004M  195M 5211M| 232k   16k|   0   736k|   0  24.0 |1423  1769 |1.43 0.62 0.39|1.0 1.0 3.0|   0     0 |   0     0 |  9    8    0   11    2
Oct 26 11:08:47 ubuntu dstat.sh[83164]: 26-10 11:08:47| 33   5  59   2   0|1219M 1117M  195M 5212M|  87k   60k|   0  3404k|   0   272 |3218  5531 |1.43 0.62 0.39|4.0   0  47|   0     0 |   0     0 |  9    6    0   13    2
Oct 26 11:08:48 ubuntu dstat.sh[83164]: 26-10 11:08:48| 30   4  66   0   0|1265M 1071M  195M 5212M|  54k 5133 |  36k  340k|3.00  6.01 |1119  1418 |1.43 0.62 0.39|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   13    2
