-- Logs begin at Thu 2022-11-17 02:34:46 UTC, end at Thu 2022-11-17 05:49:48 UTC. --
Nov 17 05:11:03 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Nov 17 05:11:03 ubuntu dstat.sh[80770]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Nov 17 05:11:03 ubuntu dstat.sh[80770]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Nov 17 05:11:03 ubuntu dstat.sh[80770]: 17-11 05:11:03|                   | 968M 1499M  174M 4992M|           |           |           |           |1.62 0.72 0.34|2.0   0    |           |   0     0 |  8    8    0    9    3
Nov 17 05:11:04 ubuntu dstat.sh[80770]: 17-11 05:11:04| 22  21  57   1   0| 960M 1506M  174M 4993M|1257k   17k|   0  2386k|   0  20.0 |3440  4314 |1.60 0.72 0.34|2.0   0 383|   0     0 |   0     0 |  8    7    0    9    3
Nov 17 05:11:05 ubuntu dstat.sh[80770]: 17-11 05:11:05| 37  21  40   0   0| 975M 1487M  174M 4996M| 577k   20k|   0   916k|   0  19.5 |3642  4946 |1.57 0.72 0.34| 11   0 360|   0     0 |   0     0 |  8    6    0    9    3
Nov 17 05:11:06 ubuntu dstat.sh[80770]: 17-11 05:11:06| 31  19  49   0   0| 957M 1503M  174M 4999M|1401k   30k|   0   891k|   0  13.0 |4334  4429 |1.57 0.72 0.34|2.0   0 211|   0     0 |   0     0 |  8    7    0    9    3
Nov 17 05:11:07 ubuntu dstat.sh[80770]: 17-11 05:11:07| 21  13  64   0   0|1034M 1424M  174M 5122M| 629k   13k|   0  3012k|   0  17.0 |3934  5220 |1.57 0.72 0.34|1.0   0  73|   0     0 |   0     0 |  9    5    0    9    3
Nov 17 05:11:08 ubuntu dstat.sh[80770]: 17-11 05:11:08| 15   7  77   1   0|1042M 1415M  174M 5122M| 183k 9202 |   0   780k|   0  18.0 |1724  2262 |1.57 0.72 0.34|3.0   0  92|   0     0 |   0     0 |  9    8    0    7    3
Nov 17 05:11:09 ubuntu dstat.sh[80770]: 17-11 05:11:09| 19  12  68   1   0|1042M 1414M  174M 5123M| 166k   21k|   0   692k|   0  27.0 |2278  3241 |1.61 0.75 0.35|2.0   0 196|   0     0 |   0     0 |  9    8    0   10    3
Nov 17 05:11:10 ubuntu dstat.sh[80770]: 17-11 05:11:10| 34   6  60   1   0|1062M 1394M  174M 5123M|  79k 6091 |  20k 1538k|2.00  24.0 |1386  1422 |1.61 0.75 0.35|3.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    3
Nov 17 05:11:11 ubuntu dstat.sh[80770]: 17-11 05:11:11| 47   5  46   1   0|1124M 1330M  174M 5124M|  68k 6328 | 176k 1532k|12.0  16.0 |1485  1422 |1.61 0.75 0.35|3.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    3
Nov 17 05:11:12 ubuntu dstat.sh[80770]: 17-11 05:11:12| 30   5  55  10   0|1149M 1304M  175M 5125M|  72k   17k|  12k   15M|1.00   512 |3810  5501 |1.61 0.75 0.35|1.0 1.0  14|   0     0 |   0     0 |  9    9    0   10    3
Nov 17 05:11:13 ubuntu dstat.sh[80770]: 17-11 05:11:13|  8   5  65  20   0|1134M 1317M  175M 5128M|  78k   14k|   0  7959k|   0   700 |5456  9613 |1.61 0.75 0.35|1.0 1.0 2.0|   0     0 |   0     0 |  9    9    0   10    3
Nov 17 05:11:14 ubuntu dstat.sh[80770]: 17-11 05:11:14| 14   3  62  19   0|1078M 1369M  176M 5130M| 168k   15k|   0  7472k|   0   634 |5592  9686 |1.64 0.77 0.36|  0 1.0  19|   0     0 |   0     0 |  9    8    0   10    3
Nov 17 05:11:15 ubuntu dstat.sh[80770]: 17-11 05:11:15| 11   4  65  19   0|1079M 1366M  176M 5132M|  62k   12k|   0  6921k|   0   694 |5560  9684 |1.64 0.77 0.36|  0 2.0  18|   0     0 |   0     0 |  9    8    0   10    3
Nov 17 05:11:16 ubuntu dstat.sh[80770]: 17-11 05:11:16|  8   4  65  21   0|1082M 1361M  176M 5135M| 650k   23k|   0  7022k|   0   612 |5895  9661 |1.64 0.77 0.36|  0 1.0  11|   0     0 |   0     0 |  9    8    0   10    3
Nov 17 05:11:17 ubuntu dstat.sh[80770]: 17-11 05:11:17| 12   3  63  18   0|1084M 1354M  177M 5137M| 934k   32k|   0    36M|   0   615 |5643  8661 |1.64 0.77 0.36|1.0   0  13|   0     0 |   0     0 |  9    8    0   10    3
Nov 17 05:11:18 ubuntu dstat.sh[80770]: 17-11 05:11:18| 25   8  67   1   0|1020M 1417M  177M 5139M| 609k   20k|   0  1397k|   0  23.0 |2013  2453 |1.64 0.77 0.36|2.0   0  77|   0     0 |   0     0 |  9    6    0   10    3
Nov 17 05:11:19 ubuntu dstat.sh[80770]: 17-11 05:11:19| 25   3  70   1   0|1079M 1359M  177M 5138M|  50k 6469 |   0   824k|   0  25.0 |1164  1206 |1.59 0.77 0.37|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    3
