-- Logs begin at Wed 2022-11-09 18:18:42 UTC, end at Thu 2022-11-10 13:53:27 UTC. --
Nov 10 13:12:07 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Nov 10 13:12:07 ubuntu dstat.sh[90131]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Nov 10 13:12:07 ubuntu dstat.sh[90131]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Nov 10 13:12:07 ubuntu dstat.sh[90131]: 10-11 13:12:07|                   | 984M 1345M  179M 5116M|           |           |           |           |1.07 0.48 0.23|3.0   0    |           |   0     0 |  8    7    0   10    2
Nov 10 13:12:08 ubuntu dstat.sh[90131]: 10-11 13:12:08| 34  21  43   0   0| 990M 1338M  179M 5117M| 777k   17k|   0    16M|   0   263 |3472  4571 |1.07 0.48 0.23|2.0   0 441|   0     0 |   0     0 |  8    8    0   10    2
Nov 10 13:12:09 ubuntu dstat.sh[90131]: 10-11 13:12:09| 15  20  63   0   0| 977M 1348M  179M 5120M|1194k   17k|   0    16k|   0   133 |3729  5039 |1.07 0.48 0.23|4.0   0 326|   0     0 |   0     0 |  8    7    0   10    2
Nov 10 13:12:10 ubuntu dstat.sh[90131]: 10-11 13:12:10| 45  20  34   0   0|1004M 1317M  179M 5124M|2072k   36k|   0   168k|   0  6.00 |6585    12k|1.07 0.48 0.23|3.0   0 198|   0     0 |   0     0 |  8    8    0   11    2
Nov 10 13:12:11 ubuntu dstat.sh[90131]: 10-11 13:12:11| 53  16  31   0   0|1145M 1172M  179M 5249M|1322k   20k|   0  1365k|   0  6.00 |3866  4552 |1.07 0.48 0.23|3.0   0 129|   0     0 |   0     0 |  9    8    0   10    2
Nov 10 13:12:12 ubuntu dstat.sh[90131]: 10-11 13:12:12| 48  13  38   0   0|1131M 1184M  179M 5250M| 892k   27k|   0  4782k|   0  32.0 |2629  3069 |1.14 0.51 0.24|4.0   0 184|   0     0 |   0     0 |  9    7    0   12    4
Nov 10 13:12:13 ubuntu dstat.sh[90131]: 10-11 13:12:13| 50   8  41   0   0|1194M 1119M  179M 5253M|1475k   20k|  20k  592k|2.00  18.0 |2580  1857 |1.14 0.51 0.24|2.0   0  25|   0     0 |   0     0 |  9    8    1   10    2
Nov 10 13:12:14 ubuntu dstat.sh[90131]: 10-11 13:12:14| 45   7  45   2   0|1232M 1079M  179M 5255M| 291k   11k| 176k 3929k|12.0  24.0 |1784  1720 |1.14 0.51 0.24|3.0   0 5.0|   0     0 |   0     0 |  9    9    1   10    2
Nov 10 13:12:15 ubuntu dstat.sh[90131]: 10-11 13:12:15| 23   2  65   8   0|1253M 1056M  179M 5256M| 307k   22k|  12k 2834k|1.00   207 |2539  4136 |1.14 0.51 0.24|  0 1.0 6.0|   0     0 |   0     0 |  9   13    0   10    2
Nov 10 13:12:16 ubuntu dstat.sh[90131]: 10-11 13:12:16| 11   4  62  23   0|1255M 1052M  180M 5259M| 446k   21k|   0    14M|   0  1017 |5658    11k|1.14 0.51 0.24|2.0   0 7.0|   0     0 |   0     0 |  9   14    0   10    2
