-- Logs begin at Wed 2022-11-30 11:02:31 UTC, end at Thu 2022-12-01 03:08:21 UTC. --
Dec 01 02:28:52 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Dec 01 02:28:53 ubuntu dstat.sh[82690]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 01 02:28:53 ubuntu dstat.sh[82690]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 01 02:28:53 ubuntu dstat.sh[82690]: 01-12 02:28:53|                   |1034M 1236M  188M 5166M|           |           |           |           |1.29 0.60 0.33|4.0   0    |           |   0     0 |  8    7    0   10    2
Dec 01 02:28:54 ubuntu dstat.sh[82690]: 01-12 02:28:54| 25  20  53   1   0|1005M 1265M  188M 5167M| 987k   19k|   0    15M|   0   255 |3457  4691 |1.29 0.60 0.33|3.5   0 399|   0     0 |   0     0 |  8    6    0   10    2
Dec 01 02:28:55 ubuntu dstat.sh[82690]: 01-12 02:28:55| 18  20  61   1   0| 980M 1288M  188M 5168M| 190k   12k|   0   608k|   0   137 |3482  5162 |1.27 0.60 0.33| 13 1.0 356|   0     0 |   0     0 |  8    7    1   10    2
Dec 01 02:28:56 ubuntu dstat.sh[82690]: 01-12 02:28:56| 18  19  61   0   0| 960M 1307M  188M 5169M|  82k 8483 |   0   771k|   0  16.0 |3098  4538 |1.27 0.60 0.33|2.0   0 216|   0     0 |   0     0 |  8    8    0   10    2
Dec 01 02:28:57 ubuntu dstat.sh[82690]: 01-12 02:28:57| 21  13  64   0   0|1100M 1166M  188M 5291M| 287k   11k|   0   528k|   0  9.00 |4305  7241 |1.27 0.60 0.33|  0 1.0  72|   0     0 |   0     0 |  9    8    0   10    2
Dec 01 02:28:58 ubuntu dstat.sh[82690]: 01-12 02:28:58| 37   8  55   0   0|1090M 1175M  188M 5292M| 386k   12k|   0   661k|   0  14.0 |1777  2005 |1.27 0.60 0.33|3.0   0  84|   0     0 |   0     0 |  9    8    0    8    2
Dec 01 02:28:59 ubuntu dstat.sh[82690]: 01-12 02:28:59| 42  14  43   0   0|1071M 1192M  188M 5294M| 876k   20k|   0    11M|   0  58.0 |2463  2674 |1.27 0.60 0.33|2.0   0 174|   0     0 |   0     0 |  9    8    1    8    4
Dec 01 02:29:00 ubuntu dstat.sh[82690]: 01-12 02:29:00| 48   7  44   1   0|1139M 1124M  188M 5295M|  70k   15k|  32k 1100k|3.00  36.0 |1712  2003 |1.33 0.63 0.34|2.0   0  37|   0     0 |   0     0 |  9    7    0   10    2
Dec 01 02:29:01 ubuntu dstat.sh[82690]: 01-12 02:29:01| 48   7  42   2   0|1113M 1148M  188M 5296M|  40k 7101 | 164k 1762k|11.0  19.0 |1566  1616 |1.33 0.63 0.34|3.0   0 8.0|   0     0 |   0     0 |  9    6    1   10    2
Dec 01 02:29:02 ubuntu dstat.sh[82690]: 01-12 02:29:02| 27   4  56  11   0|1131M 1129M  188M 5296M| 200k   21k|  12k 5208k|1.00   334 |3953    10k|1.33 0.63 0.34|1.0   0  35|   0     0 |   0     0 |  9    9    0   10    2
