"pcp-dstat 5.0.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","25 Nov 2022 15:29:22 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
25-11 15:29:22,,1057652,1291292,175900,5282512,,,,,,,1.080,0.560,0.460,1,0,,,,8,9,0,10,2
25-11 15:29:23,26.472,21.477,49.198,2.497,0,1039536,1306544,175972,5285088,1254892.559,24494.012,0,5885.755,0,28.969,3462,5180,1.080,0.560,0.460,2,0,430.543,0,0,8,8,0,10,2
25-11 15:29:24,38.638,19.195,39.386,0.748,0,1037600,1305308,176008,5288364,1539413.634,32596.828,0,2321.294,0,15.954,4518,7228,1.080,0.560,0.460,5,0,260.248,0,0,8,8,0,10,2
25-11 15:29:25,51.767,20.257,27.009,0.750,0.500,1027192,1314536,176032,5289512,330898.873,12590.104,0,700.228,0,13.004,4139,7415,1.080,0.560,0.460,15,0,233.076,0,0,8,7,0,10,2
25-11 15:29:26,40.833,18.538,40.332,0.251,0,1191816,1148796,176048,5415064,493673.613,18816.329,0,533.086,0,12.024,3876,9383,1.080,0.560,0.460,2,0,158.323,0,0,9,9,0,8,2
25-11 15:29:27,30.469,8.491,59.191,0.749,0,1191716,1146208,176060,5417720,1386298.928,23195.758,0,803.195,0,20.979,2393,2206,1.070,0.560,0.460,1,0,110.889,0,0,9,11,0,8,2
25-11 15:29:28,26.510,9.253,62.022,2.001,0.250,1167112,1169476,176108,5418896,576071.962,25839.328,0,3421.235,0,45.016,2164,2901,1.070,0.560,0.460,1,0,108.039,0,0,9,9,1,10,2
25-11 15:29:29,25.743,3.249,67.981,2.499,0,1185468,1149492,176132,5420428,242018.751,11291.816,195.945,959.729,13.996,15.995,1494,1654,1.070,0.560,0.460,1,0,1.000,0,0,9,10,0,10,2
25-11 15:29:30,28.503,2.250,69.006,0.250,0,1207616,1126212,176136,5421452,232804.651,10565.983,12.001,1396.130,1.000,23.002,1300,1316,1.070,0.560,0.460,1,0,0,0,0,9,10,0,10,2
