-- Logs begin at Tue 2022-12-06 20:39:35 UTC, end at Thu 2022-12-08 12:59:31 UTC. --
Dec 08 12:46:40 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Dec 08 12:46:41 ubuntu dstat.sh[93575]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 08 12:46:41 ubuntu dstat.sh[93575]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 08 12:46:41 ubuntu dstat.sh[93575]: 08-12 12:46:41|                   | 803M 1314M  195M 5312M|           |           |           |           |0.71 0.41 0.19|2.0   0    |           |   0     0 |  8    4    0    8    0
Dec 08 12:46:42 ubuntu dstat.sh[93575]: 08-12 12:46:42| 14  22  63   0   0| 819M 1298M  195M 5312M|  98k 3633 |   0    10M|   0   123 |3237  9113 |0.71 0.41 0.19|2.5   0 389|   0     0 |   0     0 |  8    4    0    8    0
Dec 08 12:46:43 ubuntu dstat.sh[93575]: 08-12 12:46:43| 11  18  68   0   0| 804M 1313M  195M 5313M| 109k 3910 |   0    24k|   0  64.4 |2898  6621 |0.71 0.41 0.19|1.0   0 361|   0     0 |   0     0 |  8    4    0    9    0
Dec 08 12:46:44 ubuntu dstat.sh[93575]: 08-12 12:46:44| 14  19  66   0   0| 788M 1329M  195M 5313M| 114k 3575 |   0    20k|   0  5.00 |3004  5668 |0.71 0.41 0.19|1.0   0 212|   0     0 |   0     0 |  8    4    0    6    0
Dec 08 12:46:45 ubuntu dstat.sh[93575]: 08-12 12:46:45| 24  17  58   0   0| 946M 1170M  195M 5435M| 129k 3733 |   0     0 |   0     0 |5218  9629 |0.73 0.42 0.19|1.0   0 132|   0     0 |   0     0 |  9    4    0    6    0
Dec 08 12:46:46 ubuntu dstat.sh[93575]: 08-12 12:46:46| 11   5  82   0   0| 938M 1178M  195M 5435M| 160k 5044 |   0  4096B|   0  1.00 |1684  2359 |0.73 0.42 0.19|1.0   0  54|   0     0 |   0     0 |  9    6    1    6    0
Dec 08 12:46:47 ubuntu dstat.sh[93575]: 08-12 12:46:47| 20   6  73   0   0| 942M 1174M  195M 5435M| 147k 3868 |   0   520k|   0  9.99 |1510  1852 |0.73 0.42 0.19|1.0   0  69|   0     0 |   0     0 |  9    6    1    6    0
Dec 08 12:46:48 ubuntu dstat.sh[93575]: 08-12 12:46:48| 17  11  72   1   0| 961M 1154M  195M 5435M| 163k   16k|   0   192k|   0  16.0 |2105  3063 |0.73 0.42 0.19|1.0   0 171|   0     0 |   0     0 |  9    6    1    8    0
Dec 08 12:46:49 ubuntu dstat.sh[93575]: 08-12 12:46:49| 22   3  73   1   0|1007M 1108M  195M 5436M| 179k 4594 | 116k  767k|7.99  19.0 |1249  1684 |0.73 0.42 0.19|3.0   0   0|   0     0 |   0     0 |  9    6    1    8    0
Dec 08 12:46:50 ubuntu dstat.sh[93575]: 08-12 12:46:50| 24   2  72   0   0|1010M 1104M  195M 5437M| 166k 3953 | 124k    0 |8.00     0 |1131  1354 |0.75 0.43 0.20|1.0   0   0|   0     0 |   0     0 |  9    6    1    8    0
Dec 08 12:46:51 ubuntu dstat.sh[93575]: 08-12 12:46:51| 11   4  68  18   0|1029M 1084M  195M 5438M| 206k   16k|  16k 8930k|2.00   687 |5289  8988 |0.75 0.43 0.20|  0 1.0  10|   0     0 |   0     0 |  9    8    1    8    0
Dec 08 12:46:52 ubuntu dstat.sh[93575]: 08-12 12:46:52|  5   3  69  20   0|1034M 1076M  195M 5440M| 194k   10k|   0  7130k|   0   705 |5775    10k|0.75 0.43 0.20|  0 1.0 3.0|   0     0 |   0     0 |  9    8    1    8    0
Dec 08 12:46:53 ubuntu dstat.sh[93575]: 08-12 12:46:53|  7   3  68  20   0|1035M 1072M  195M 5443M| 199k   11k|   0  6941k|   0   634 |5633  9793 |0.75 0.43 0.20|  0 1.0  21|   0     0 |   0     0 |  9    8    1    8    0
Dec 08 12:46:54 ubuntu dstat.sh[93575]: 08-12 12:46:54|  6   2  68  20   0|1037M 1068M  195M 5444M| 213k   10k|   0  5638k|   0   584 |4742  9247 |0.75 0.43 0.20|1.0 1.0  18|   0     0 |   0     0 |  9    8    1    8    0
Dec 08 12:46:55 ubuntu dstat.sh[93575]: 08-12 12:46:55|  5   4  68  20   0|1039M 1064M  196M 5446M| 210k   11k|   0  6763k|   0   702 |4893    10k|0.85 0.46 0.21|  0 2.0 4.0|   0     0 |   0     0 |  9    8    1    8    0
Dec 08 12:46:56 ubuntu dstat.sh[93575]: 08-12 12:46:56| 15   4  70   8   0| 945M 1157M  196M 5447M|  96k 8052 |   0  2431k|   0   286 |3315  5965 |0.85 0.46 0.21|2.0   0  67|   0     0 |   0     0 |  9    6    1    8    0
Dec 08 12:46:57 ubuntu dstat.sh[93575]: 08-12 12:46:57| 22   3  74   0   0| 998M 1104M  196M 5447M| 107k 2807 |   0   324k|   0  17.0 |1247  1570 |0.85 0.46 0.21|3.0   0  23|   0     0 |   0     0 |  9    6    1    8    0
