"pcp-dstat 5.0.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","05 Dec 2022 17:36:31 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
05-12 17:36:31,,1006108,999256,198856,5594196,,,,,,,1.070,0.500,0.190,7,0,,,,8,2,0,10,0
05-12 17:36:32,61.876,22.455,13.972,0.998,0.249,1045716,958292,198916,5594976,8530.853,2319.338,23.952,914.163,5.988,14.970,2931,5896,1.070,0.500,0.190,2,0,495.005,0,0,8,4,2,10,0
05-12 17:36:33,14.931,19.908,63.954,0,0,1041588,962184,198916,5595312,28096.855,6617.348,0,27.871,0,6.968,3351,5447,1.070,0.500,0.190,12,0,345.400,0,0,8,6,0,10,0
05-12 17:36:34,19.336,17.578,62.529,0.251,0.251,998096,1005500,198940,5595408,92757.606,7192.069,0,353.577,0,10.045,3317,5909,0.990,0.490,0.190,1,0,204.914,0,0,8,6,1,10,1
05-12 17:36:35,29.223,13.987,55.198,0.999,0,1105372,896364,198980,5721544,111332.793,8010.502,0,619.420,0,11.989,3352,6488,0.990,0.490,0.190,1,0,71.933,0,0,9,8,0,10,0
05-12 17:36:36,37.018,12.756,50.024,0,0.500,1118176,883304,198992,5721716,143395.113,9435.482,0,24.011,0,6.003,2467,6590,0.990,0.490,0.190,2,0,141.067,0,0,9,10,0,8,0
05-12 17:36:37,39.302,11.766,48.314,0.250,0,1156516,844368,199016,5722276,377379.764,22758.018,0,320.423,0,18.024,2376,2968,0.990,0.490,0.190,2,0,182.240,0,0,9,10,0,10,0
05-12 17:36:38,46.189,7.240,45.440,0.250,0.250,1212760,786036,199060,5724272,1418405.450,33876.182,51.931,790.954,4.993,17.976,2172,1479,0.990,0.490,0.190,2,0,4.993,0,0,9,9,1,10,0
05-12 17:36:39,46.067,6.259,45.817,1.252,0,1251964,742976,199216,5727492,1153206.989,16435.028,144.211,733.072,9.013,10.015,2037,1678,1.070,0.520,0.200,3,0,1.001,0,0,9,10,0,10,1
05-12 17:36:40,40.735,5.498,47.982,4.248,0,1243024,750644,199424,5728424,128020.608,17207.496,11.995,6093.697,1.000,307.884,3151,5255,1.070,0.520,0.200,1,0,14.994,0,0,9,11,1,10,2
