-- Logs begin at Wed 2022-12-07 06:39:23 UTC, end at Wed 2022-12-07 18:15:35 UTC. --
Dec 07 17:35:40 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Dec 07 17:35:40 ubuntu dstat.sh[91016]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 07 17:35:40 ubuntu dstat.sh[91016]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 07 17:35:40 ubuntu dstat.sh[91016]: 07-12 17:35:40|                   | 953M 1091M  198M 5379M|           |           |           |           |0.97 0.46 0.24|2.0   0    |           |   0     0 |  8    8    0   11    2
Dec 07 17:35:41 ubuntu dstat.sh[91016]: 07-12 17:35:41| 19  19  60   0   0| 916M 1128M  198M 5379M| 535k   17k|   0   878k|   0  21.0 |3003  4321 |0.97 0.46 0.24|2.5   0 367|   0     0 |   0     0 |  8    6    0   11    2
Dec 07 17:35:42 ubuntu dstat.sh[91016]: 07-12 17:35:42| 36  22  40   0   0| 901M 1142M  198M 5380M| 270k 9350 |   0   669k|   0  16.9 |2866  4364 |0.97 0.46 0.24| 18   0 349|   0     0 |   0     0 |  8    4    0    9    2
Dec 07 17:35:43 ubuntu dstat.sh[91016]: 07-12 17:35:43| 39  20  40   0   1| 896M 1145M  198M 5381M| 678k   23k|   0    16k|   0  4.04 |3744  5694 |0.97 0.46 0.24|1.0   0 216|   0     0 |   0     0 |  8    4    1    9    2
Dec 07 17:35:44 ubuntu dstat.sh[91016]: 07-12 17:35:44| 16  13  70   0   0|1035M 1004M  198M 5505M|1004k 8133 |   0     0 |   0     0 |3903  6226 |0.97 0.46 0.24|  0   0  70|   0     0 |   0     0 |  9    5    0    9    2
Dec 07 17:35:45 ubuntu dstat.sh[91016]: 07-12 17:35:45| 17   5  78   0   0|1044M  994M  198M 5507M|1074k   11k|   0   278k|   0  4.02 |1962  2083 |0.89 0.45 0.24|2.0   0  81|   0     0 |   0     0 |  9    7    1    9    2
Dec 07 17:35:46 ubuntu dstat.sh[91016]: 07-12 17:35:46| 17  10  71   0   0|1041M  994M  198M 5509M|1433k   18k|   0   168k|   0  10.0 |2725  2913 |0.89 0.45 0.24|2.0   0 170|   0     0 |   0     0 |  9   10    0    9    2
Dec 07 17:35:47 ubuntu dstat.sh[91016]: 07-12 17:35:47| 23   5  71   1   0|1084M  950M  198M 5511M| 571k   16k|  20k 4852k|2.00  34.0 |1678  2157 |0.89 0.45 0.24|3.0   0  37|   0     0 |   0     0 |  9    8    0   11    2
Dec 07 17:35:48 ubuntu dstat.sh[91016]: 07-12 17:35:48| 24   3  71   1   0|1112M  918M  198M 5514M|1444k   10k| 176k 1024k|12.0  8.00 |1802  1615 |0.89 0.45 0.24|1.0   0   0|   0     0 |   0     0 |  9    8    0   11    2
Dec 07 17:35:49 ubuntu dstat.sh[91016]: 07-12 17:35:49| 19   2  68  10   0|1136M  891M  198M 5517M| 975k   22k|  12k 6366k|1.00   330 |3330  5569 |0.89 0.45 0.24|  0 2.0 8.0|   0     0 |   0     0 |  9   10    0   11    2
